DateField,ValueField
2017-01-30 00:00:00,2251.5840
2017-01-31 00:00:00,2269.7280
2017-02-01 00:00:00,2287.0080
2017-02-02 00:00:00,2255.9040
2017-02-03 00:00:00,2234.3040
2017-02-06 00:00:00,2209.2480
2017-02-07 00:00:00,2167.7760
2017-02-08 00:00:00,2153.0880
2017-02-09 00:00:00,2133.2160
2017-02-10 00:00:00,2081.3760
2017-02-13 00:00:00,2048.5440
2017-02-14 00:00:00,2026.0800
2017-02-15 00:00:00,2114.2080
2017-02-16 00:00:00,2206.6560
2017-02-17 00:00:00,2155.6800
2017-02-21 00:00:00,2141.8560
2017-02-22 00:00:00,2134.0800
2017-02-23 00:00:00,2173.8240
2017-02-24 00:00:00,2121.9840
2017-02-27 00:00:00,2108.1600
2017-02-28 00:00:00,2032.9920
2017-03-01 00:00:00,2030.4000
2017-03-02 00:00:00,2038.1760
2017-03-03 00:00:00,2079.6480
2017-03-06 00:00:00,2059.7760
2017-03-07 00:00:00,2023.4880
2017-03-08 00:00:00,2033.8560
2017-03-09 00:00:00,2008.8000
2017-03-10 00:00:00,2060.6400
2017-03-13 00:00:00,2153.0880
2017-03-14 00:00:00,2195.4240
2017-03-15 00:00:00,2188.5120
2017-03-16 00:00:00,2168.6400
2017-03-17 00:00:00,2148.7680
2017-03-20 00:00:00,2259.3600
2017-03-21 00:00:00,2312.0640
2017-03-22 00:00:00,2326.7520
2017-03-23 00:00:00,2339.7120
2017-03-24 00:00:00,2287.0080
2017-03-27 00:00:00,2318.1120
2017-03-28 00:00:00,2268.8640
2017-03-29 00:00:00,2227.3920
2017-03-30 00:00:00,2242.0800
2017-03-31 00:00:00,2246.4000
2017-04-03 00:00:00,2245.5360
2017-04-04 00:00:00,2245.5360
2017-04-05 00:00:00,2263.6800
2017-04-06 00:00:00,2217.0240
2017-04-07 00:00:00,2137.5360
2017-04-10 00:00:00,2070.1440
2017-04-11 00:00:00,2093.4720
2017-04-12 00:00:00,2058.0480
2017-04-13 00:00:00,2013.9840
2017-04-17 00:00:00,2029.5360
2017-04-18 00:00:00,2011.3920
2017-04-19 00:00:00,1914.6240
2017-04-20 00:00:00,1868.8320
2017-04-21 00:00:00,1935.3600
2017-04-24 00:00:00,1888.7040
2017-04-25 00:00:00,1948.3200
2017-04-26 00:00:00,1959.5520
2017-04-27 00:00:00,1959.5520
2017-04-28 00:00:00,1920.6720
2017-05-01 00:00:00,1897.3440
2017-05-02 00:00:00,1882.6560
2017-05-03 00:00:00,1866.2400
2017-05-04 00:00:00,1930.1760
2017-05-05 00:00:00,1960.4160
2017-05-08 00:00:00,2046.8160
2017-05-09 00:00:00,2057.1840
2017-05-10 00:00:00,2048.5440
2017-05-11 00:00:00,2057.1840
2017-05-12 00:00:00,2102.1120
2017-05-15 00:00:00,2159.1360
2017-05-16 00:00:00,2145.3120
2017-05-17 00:00:00,2175.5520
2017-05-18 00:00:00,2207.5200
2017-05-19 00:00:00,2153.0880
2017-05-22 00:00:00,2140.9920
2017-05-23 00:00:00,2100.3840
2017-05-24 00:00:00,1983.7440
2017-05-25 00:00:00,1983.7440
2017-05-26 00:00:00,2013.1200
2017-05-30 00:00:00,2148.7680
2017-05-31 00:00:00,2155.6800
2017-06-01 00:00:00,2149.6320
2017-06-02 00:00:00,2110.7520
2017-06-05 00:00:00,2095.2000
2017-06-06 00:00:00,2060.6400
2017-06-07 00:00:00,2073.6000
2017-06-08 00:00:00,2077.9200
2017-06-09 00:00:00,2135.8080
2017-06-12 00:00:00,2185.0560
2017-06-13 00:00:00,2128.8960
2017-06-14 00:00:00,2164.3200
2017-06-15 00:00:00,2160.0000
2017-06-16 00:00:00,2112.4800
2017-06-19 00:00:00,2002.7520
2017-06-20 00:00:00,1982.8800
2017-06-21 00:00:00,1907.7120
2017-06-22 00:00:00,1874.8800
2017-06-23 00:00:00,1930.1760
2017-06-26 00:00:00,1891.2960
2017-06-27 00:00:00,1921.5360
2017-06-28 00:00:00,1944.0000
2017-06-29 00:00:00,1916.3520
2017-06-30 00:00:00,2004.4800
2017-07-03 00:00:00,2035.5840
2017-07-05 00:00:00,2026.0800
2017-07-06 00:00:00,1992.3840
2017-07-07 00:00:00,1948.3200
2017-07-10 00:00:00,1897.3440
2017-07-11 00:00:00,1866.2400
2017-07-12 00:00:00,1876.6080
2017-07-13 00:00:00,1948.3200
2017-07-14 00:00:00,1986.3360
2017-07-17 00:00:00,1980.2880
2017-07-18 00:00:00,1967.3280
2017-07-19 00:00:00,2019.1680
2017-07-20 00:00:00,2024.3520
2017-07-21 00:00:00,2043.3600
2017-07-24 00:00:00,2032.1280
2017-07-25 00:00:00,1993.2480
2017-07-26 00:00:00,1986.3360
2017-07-27 00:00:00,2091.7440
2017-07-28 00:00:00,2156.5440
2017-07-31 00:00:00,2160.0000
2017-08-01 00:00:00,2092.6080
2017-08-02 00:00:00,2158.2720
2017-08-03 00:00:00,2148.7680
2017-08-04 00:00:00,2096.9280
2017-08-07 00:00:00,2102.9760
2017-08-08 00:00:00,2097.7920
2017-08-09 00:00:00,2083.9680
2017-08-10 00:00:00,2021.7600
2017-08-11 00:00:00,2053.7280
2017-08-14 00:00:00,1989.7920
2017-08-15 00:00:00,1912.0320
2017-08-16 00:00:00,1897.3440
2017-08-17 00:00:00,1945.7280
2017-08-18 00:00:00,1939.6800
2017-08-21 00:00:00,1958.6880
2017-08-22 00:00:00,1944.0000
2017-08-23 00:00:00,1933.6320
2017-08-24 00:00:00,1973.3760
2017-08-25 00:00:00,1982.0160
2016-06-30 00:00:00,3263.3280
2016-07-01 00:00:00,3278.8800
2016-07-05 00:00:00,3368.7360
2016-07-06 00:00:00,3392.9280
2016-07-07 00:00:00,3417.9840
2016-07-08 00:00:00,3405.0240
2016-07-11 00:00:00,3410.2080
2016-07-12 00:00:00,3421.4400
2016-07-13 00:00:00,3456.8640
2016-07-14 00:00:00,3465.5040
2016-07-15 00:00:00,3365.2800
2016-07-18 00:00:00,3391.2000
2016-07-19 00:00:00,3293.5680
2016-07-20 00:00:00,3232.2240
2016-07-21 00:00:00,3181.2480
2016-07-22 00:00:00,3156.1920
2016-07-25 00:00:00,3131.1360
2016-07-26 00:00:00,3112.9920
2016-07-27 00:00:00,3144.0960
2016-07-28 00:00:00,3114.7200
2016-07-29 00:00:00,3082.7520
2016-08-01 00:00:00,3196.8000
2016-08-02 00:00:00,3161.3760
2016-08-03 00:00:00,3281.4720
2016-08-04 00:00:00,3288.3840
2016-08-05 00:00:00,3320.3520
2016-08-08 00:00:00,3322.9440
