Date,SO
2001-03-06,10.52
2001-03-07,10.42
2001-03-08,10.48
2001-03-09,10.41
2001-03-12,10.36
2001-03-13,10.19
2001-03-14,9.99
2001-03-15,10.68
2001-03-16,10.69
2001-03-19,10.86
2001-03-20,10.94
2001-03-21,10.99
2001-03-22,10.77
2001-03-23,10.68
2001-03-26,11.18
2001-03-27,11.34
2001-03-28,11.53
2001-03-29,11.63
2001-03-30,11.81
2001-04-02,11.87
2001-04-03,12.21
2001-04-04,12.10
2001-04-05,12.19
2001-04-06,11.86
2001-04-09,12.15
2001-04-10,12.31
2001-04-11,12.37
2001-04-12,12.25
2001-04-16,12.49
2001-04-17,12.70
2001-04-18,12.60
2001-04-19,12.33
2001-04-20,12.35
2001-04-23,12.53
2001-04-24,12.80
2001-04-25,12.87
2001-04-26,12.89
2001-04-27,12.74
2001-04-30,12.74
2001-05-01,12.90
2001-05-02,12.75
2001-05-03,12.54
2001-05-04,12.59
2001-05-07,12.66
2001-05-08,12.59
2001-05-09,12.61
2001-05-10,12.76
2001-05-11,12.67
2001-05-14,12.71
2001-05-15,12.58
2001-05-16,12.61
2001-05-17,12.66
2001-05-18,12.61
2001-05-21,12.63
2001-05-22,12.73
2001-05-23,12.87
2001-05-24,12.94
2001-05-25,12.84
2001-05-29,12.78
2001-05-30,12.94
2001-05-31,13.20
2001-06-01,13.02
2001-06-04,13.28
2001-06-05,13.32
2001-06-06,13.06
2001-06-07,12.89
2001-06-08,12.89
2001-06-11,13.01
2001-06-12,13.03
2001-06-13,12.87
2001-06-14,12.60
2001-06-15,12.73
2001-06-18,12.77
2001-06-19,12.89
2001-06-20,13.12
2001-06-21,12.91
2001-06-22,12.98
2001-06-25,12.93
2001-06-26,13.09
2001-06-27,13.24
2001-06-28,13.17
2001-06-29,13.03
2001-07-02,13.07
2001-07-03,13.08
2001-07-05,13.06
2001-07-06,12.99
2001-07-09,13.11
2001-07-10,13.21
2001-07-11,13.12
2001-07-12,13.03
2001-07-13,13.08
2001-07-16,13.24
2001-07-17,13.22
2001-07-18,13.21
2001-07-19,13.12
2001-07-20,12.92
2001-07-23,12.80
2001-07-24,12.66
2001-07-25,12.59
2001-07-26,12.88
2001-07-27,12.88
2001-07-30,13.17
2001-07-31,13.17
2001-08-01,13.24
2001-08-02,13.42
2001-08-03,13.76
2001-08-06,13.31
2001-08-07,13.42
2001-08-08,13.18
2001-08-09,13.33
2001-08-10,13.17
2001-08-13,13.06
2001-08-14,13.13
2001-08-15,13.06
2001-08-16,13.17
2001-08-17,13.01
2001-08-20,13.08
2001-08-21,13.06
2001-08-22,13.24
2001-08-23,13.17
2001-08-24,13.17
2001-08-27,13.28
2001-08-28,13.30
2001-08-29,13.25
2001-08-30,13.08
2001-08-31,13.18
2001-09-04,13.29
2001-09-05,13.30
2001-09-06,13.42
2001-09-07,13.57
2001-09-10,13.50
2001-09-17,13.62
2001-09-18,13.79
2001-09-19,14.07
2001-09-20,14.59
2001-09-21,14.53
2001-09-24,14.25
2001-09-25,13.93
2001-09-26,13.80
2001-09-27,13.53
2001-09-28,13.64
2001-10-01,14.10
2001-10-02,14.24
2001-10-03,14.53
2001-10-04,14.54
2001-10-05,14.71
2001-10-08,14.62
2001-10-09,14.26
2001-10-10,14.21
2001-10-11,13.88
2001-10-12,13.96
2001-10-15,14.21
2001-10-16,14.47
2001-10-17,14.42
2001-10-18,14.08
2001-10-19,14.31
2001-10-22,14.12
2001-10-23,14.02
2001-10-24,13.76
2001-10-25,13.80
2001-10-26,13.76
2001-10-29,13.83
2001-10-30,13.68
2001-10-31,13.59
2001-11-01,13.84
2001-11-02,13.55
2001-11-05,13.96
2001-11-06,14.00
2001-11-07,13.84
2001-11-08,13.91
2001-11-09,13.95
2001-11-12,13.86
2001-11-13,13.84
2001-11-14,13.64
2001-11-15,13.51
2001-11-16,13.61
2001-11-19,13.38
2001-11-20,13.63
2001-11-21,13.42
2001-11-23,13.55
2001-11-26,13.55
2001-11-27,13.44
2001-11-28,13.27
2001-11-29,13.12
2001-11-30,13.12
2001-12-03,13.16
2001-12-04,13.24
2001-12-05,13.23
2001-12-06,13.05
2001-12-07,13.14
2001-12-10,13.09
2001-12-11,12.89
2001-12-12,13.22
2001-12-13,13.47
2001-12-14,13.42
2001-12-17,13.44
2001-12-18,13.72
2001-12-19,14.22
2001-12-20,14.10
2001-12-21,14.14
2001-12-24,14.40
2001-12-26,14.62
2001-12-27,14.65
2001-12-28,14.65
2001-12-31,14.62
2002-01-02,14.71
2002-01-03,14.50
2002-01-04,14.31
2002-01-07,14.29
2002-01-08,14.24
2002-01-09,14.14
2002-01-10,14.23
2002-01-11,14.27
2002-01-14,14.48
2002-01-15,14.56
2002-01-16,14.42
2002-01-17,14.47
2002-01-18,14.58
2002-01-22,14.42
2002-01-23,14.29
2002-01-24,14.47
2002-01-25,14.35
2002-01-28,14.33
2002-01-29,14.16
2002-01-30,14.13
2002-01-31,14.41
2002-02-04,14.40
2002-02-05,14.36
2002-02-06,14.33
2002-02-07,14.53
2002-02-08,14.61
2002-02-11,14.61
2002-02-12,14.57
2002-02-13,14.76
2002-02-14,14.79
2002-02-15,14.63
2002-02-19,14.51
2002-02-20,14.64
2002-02-21,14.48
2002-02-22,14.70
2002-02-25,14.85
2002-02-26,14.79
2002-02-27,14.93
2002-02-28,14.85
2002-03-01,15.00
2002-03-04,15.09
2002-03-05,15.24
2002-03-06,15.30
2002-03-07,15.31
2002-03-08,15.23
2002-03-11,15.20
2002-03-12,15.14
2002-03-13,15.07
2002-03-14,15.15
2002-03-15,15.39
2002-03-18,15.36
2002-03-19,15.46
2002-03-20,15.37
2002-03-21,15.64
2002-03-22,15.66
2002-03-25,15.51
2002-03-26,15.58
2002-03-27,15.59
2002-03-28,15.49
2002-04-01,15.50
2002-04-02,15.66
2002-04-03,15.64
2002-04-04,15.77
2002-04-05,15.61
2002-04-08,15.69
2002-04-09,15.62
2002-04-10,15.67
2002-04-11,15.47
2002-04-12,15.64
2002-04-15,15.36
2002-04-16,15.61
2002-04-17,15.78
2002-04-18,16.23
2002-04-19,16.54
2002-04-22,16.43
2002-04-23,16.54
2002-04-24,16.37
2002-04-25,16.24
2002-04-26,16.17
2002-04-29,16.34
2002-04-30,16.58
2002-05-01,16.47
2002-05-02,16.61
2002-05-03,16.67
2002-05-06,16.80
2002-05-07,16.73
2002-05-08,16.80
2002-05-09,16.67
2002-05-10,16.51
2002-05-13,16.64
2002-05-14,16.64
2002-05-15,16.38
2002-05-16,15.99
2002-05-17,15.65
2002-05-20,15.89
2002-05-21,16.00
2002-05-22,16.52
2002-05-23,16.62
2002-05-24,16.46
2002-05-28,16.38
2002-05-29,16.14
2002-05-30,16.16
2002-05-31,15.98
2002-06-03,15.77
2002-06-04,15.80
2002-06-05,15.68
2002-06-06,15.24
2002-06-07,15.18
2002-06-10,15.42
2002-06-11,15.50
2002-06-12,15.58
2002-06-13,15.81
2002-06-14,15.62
2002-06-17,15.81
2002-06-18,16.04
2002-06-19,15.96
2002-06-20,15.96
2002-06-21,16.12
2002-06-24,15.83
2002-06-25,15.71
2002-06-26,15.55
2002-06-27,15.92
2002-06-28,16.22
2002-07-01,16.01
2002-07-02,16.09
2002-07-03,15.92
2002-07-05,16.04
2002-07-08,15.78
2002-07-09,15.58
2002-07-10,15.09
2002-07-11,15.40
2002-07-12,14.97
2002-07-15,15.51
2002-07-16,14.88
2002-07-17,15.06
2002-07-18,14.79
2002-07-19,14.14
2002-07-22,14.49
2002-07-23,14.19
2002-07-24,15.49
2002-07-25,15.93
2002-07-26,15.77
2002-07-29,15.76
2002-07-30,16.72
2002-07-31,17.03
2002-08-01,16.50
2002-08-02,16.56
2002-08-05,16.78
2002-08-06,17.29
2002-08-07,17.13
2002-08-08,17.24
2002-08-09,17.03
2002-08-12,16.85
2002-08-13,16.64
2002-08-14,17.36
2002-08-15,16.96
2002-08-16,16.77
2002-08-19,16.81
2002-08-20,16.77
